seller_id,total_orders,total_revenue,total_freight,seller_city,seller_state,avg_review_score,review_count,on_time_rate,avg_delivery_days,revenue_score,review_score_normalized,delivery_score,composite_score,seller_rank
0015a82c2db000af6aaaf3ae2ecb0532,3,2685.0,63.06,santo andre,SP,3.67,3.0,100.0,10.8,1.180052482707506,73.33333333333333,100.0,59.69,2044
001cca7ae9ae17fb1caed9dfb1094831,195,24487.03,8655.87,cariacica,ES,3.98,197.0,93.33,13.4,10.785256749858348,79.69543147208122,93.33333333333333,63.11,1380
002100f778ceb8431b7a1020ff7ab48f,50,1216.6,778.56,franca,SP,3.9,51.0,82.0,16.4,0.5331273135427863,78.03921568627452,82.0,55.98,2390
003554e2dce176b5555353e4f3555ac8,1,120.0,19.38,goiania,GO,5.0,1.0,100.0,4.6,0.05000409064300987,100.0,100.0,70.02,227
004c9cd9d87a3c30c522c48c4fc07416,156,19569.73,3524.29,ibitinga,SP,4.12,155.0,91.67,14.8,8.61886807215903,82.45161290322581,91.66666666666666,63.07,1390
00720abe85ba0859807595bbf045a33b,13,1007.5,315.98,guarulhos,SP,3.62,13.0,84.62,11.8,0.44100523994407825,72.3076923076923,84.61538461538461,54.44,2474
00ab3eff1b5192e5f1a63bcecfee11c8,1,98.0,12.08,sao paulo,SP,5.0,1.0,100.0,9.1,0.040311667787096064,100.0,100.0,70.01,309
00d8b143d12632bad99c0ad66ad52825,1,86.0,51.1,belo horizonte,MG,5.0,1.0,100.0,7.2,0.03502489168387035,100.0,100.0,70.01,309
00ee68308b45bc5e2660cd833c3f81cc,135,20260.0,3180.66,sao paulo,SP,4.3,134.0,91.11,9.6,8.922976650556832,85.97014925373134,91.11111111111111,64.4,1184
00fc707aaaad2d31347cf883cd2dfe10,103,12684.9,2285.09,maringa,PR,4.07,102.0,95.15,15.1,5.585655178928073,81.37254901960785,95.14563106796116,62.77,1439
010543a62bd80aa422851e79a3bc7540,2,1416.0,31.950000000000003,sao paulo,SP,4.5,2.0,100.0,9.1,0.620975909791387,90.0,100.0,66.19,833
010da0602d7774602cd1b3f5fb7b709e,1,849.5,230.25,sao bernardo do campo,SP,1.0,1.0,100.0,26.1,0.37139602125160637,20.0,100.0,38.11,2859
011b0eaba87386a2ae96a7d32bb531d1,1,99.98,29.18,pompeia,SP,4.0,1.0,100.0,25.2,0.041183985844128315,80.0,100.0,62.01,1630
01266d4c46afa519678d16a8b683d325,3,90.25,47.230000000000004,curitiba,PR,5.0,3.0,100.0,5.9,0.03689729155376279,100.0,100.0,70.01,309
013900e863eace745d3ec7614cab5b1a,23,1619.7,469.67,curitiba,PR,4.7,23.0,100.0,12.2,0.7107189341436435,93.91304347826089,100.0,67.78,655
014c0679dd340a0e338872e7ec85666a,14,7058.0,628.31,timoteo,MG,3.86,14.0,85.71,19.8,3.10664180765801,77.14285714285715,85.71428571428571,57.5,2276
014d9a685fd57276679edd00e07089e5,11,729.88,146.93,maringa,PR,3.73,11.0,100.0,9.2,0.31869567479595134,74.54545454545453,100.0,59.91,2013
0176f73cc1195f367f7b32db1e5b3aa8,37,4643.2,1272.07,ibitinga,SP,4.08,38.0,89.19,13.2,2.0427662298188887,81.57894736842104,89.1891891891892,60.0,1999
01bcc9d254a0143f0ce9791b960b2a47,10,1393.21,251.48,uruacu,GO,4.4,10.0,100.0,12.8,0.6109354408420108,88.00000000000001,100.0,65.38,1006
01c97ebb5cdac52891c0ed1c37ba0012,9,577.5,178.5,catanduva,SP,4.22,9.0,100.0,13.9,0.2515624295784902,84.44444444444444,100.0,63.85,1271
